Timestamp,gender,grade,ice_cream,exercise,landmark,farm_animal,cuisine,free_time,sport,social_media,grocery_store,languages,birth_season,fav_game,gaming_system,holiday,pets,dining_out_weekly,time_hobbies,daily_snacks,time_social_media,minutes_homework,weighted_gpa,time_morning_routine,num_states,time_sleep
5/14/2026 12:32:41,Female,Senior,Chocolate,swim,A) Eiffel Tower,All of the above,Asian,"Creative hobbies (drawing, music, etc.)",Volleyball,Instagram,Trader Joes,None,Winter,None,Playstation,Halloween,17,1,3,5,3,3,3.67,20,3,7
5/14/2026 12:32:47,Male,Sophomore,Strawberry,weight lifting,A) Eiffel Tower,Goat,Mexican,Watching TV or YouTube,Football,Youtube,Costco,Spanish,Autumn,Roblox,PC,Halloween,1,1,4,3,120,5,4.2,20,3,8
5/14/2026 12:33:01,Female,Freshman,Cookies and Cream,sports,H) Christ the Redeemer,Cow,Asian,Hanging out with friends,Basketball,TikTok,WinCo,None,Autumn,None,Other,Halloween,0,1,1,2,120,240,3.8,10,23,8
5/14/2026 12:33:03,Female,Sophomore,Strawberry,swim,H) Christ the Redeemer,Cow,Asian,Working out / sports practice,Baseball,Instagram,Costco,"Spanish, Other",Winter,Roblox,Mobile,Halloween,1,2,3,2,120,50,4.4,40,3,7
5/14/2026 12:34:50,Female,Sophomore,Vanilla,sports,A) Eiffel Tower,Horse,Mexican,Sleeping / resting,Soccer,TikTok,Costco,Other,Autumn,Roblox,Mobile,Christmas,2,1,2,3,80,60,4.2,40,9,6
5/14/2026 12:34:58,Female,Junior,Chocolate,yoga/stretching,F) Machu Picchu,All of the above,Mexican,"Creative hobbies (drawing, music, etc.)",Tennis,Instagram,Costco,Spanish,Winter,None,Switch,Christmas,10,2,0,2,20,120,3.4,65,0,6
5/14/2026 12:35:17,Male,Senior,cookie dough,sports,G) Stonehenge,Goat,Asian,Working out / sports practice,Basketball,Instagram,Stater Bros.,None,Summer,Other,PC,Christmas,3,2,7,4,90,0,4.3,70,5,7
5/14/2026 12:37:45,Female,Freshman,Cookies and Cream,weight lifting,A) Eiffel Tower,Sheep,Asian,"Creative hobbies (drawing, music, etc.)",Soccer,Instagram,Sams Club / Walmart,Spanish,Autumn,Roblox,Playstation,Christmas,6,1,3,2,60,120,4,30,14,8
5/14/2026 12:41:41,Male,Freshman,Mint Chip,other,E) Grand Canyon,All of the above,Mexican,Playing video games,Basketball,Instagram,Stater Bros.,None,Summer,Other,Switch,Thanksgiving,16,17,2,3,200,20,3.8,22,1,5
5/14/2026 12:43:07,Male,Freshman,Vanilla,weight lifting,B) Pyramids of Giza,Chicken,Mexican,Playing video games,Basketball,Youtube,Costco,None,Winter,Roblox,PC,Christmas,2,0,12,2,120,30,4.2,30,4,7
