,,,,player_name,,place,round,,,course_par,score,putting_sg,chipping_sg,approach_sg,driving_sg,tee-green_sg,overall_sg,driving_dist,driving_acc,gir,scrambling,rough_prox,fairway_prox
,,,,"Woosnam, Ian",,CUT,1,,,72,76,0.622,-0.334,-1.529,-0.236,-2.099,-1.477,268.3,0.786,0.444,0.545,62.018,38.275
,,,,"Woosnam, Ian",,CUT,2,,,72,77,0.785,-0.839,-2.798,-1.818,-5.455,-4.67,269.5,0.857,0.5,0.667,55.093,36.757
,,,,"Day, Jason",,CUT,1,,,72,77,-2.401,1.813,-1.697,-0.191,-0.076,-2.477,284.2,0.714,0.5,0.5,,31.824
,,,,"Day, Jason",,CUT,2,,,72,76,0.022,0.427,-3.82,-0.3,-3.693,-3.67,303.2,0.786,0.389,0.625,79.271,46.02
,,,,"Ortiz, Carlos",,CUT,1,,,72,82,-2.539,-3.618,-2.38,1.059,-4.939,-7.477,306.4,0.786,0.5,0.167,72.114,38.907
,,,,"Ortiz, Carlos",,CUT,2,,,72,71,0.187,-1.002,0.672,1.473,1.143,1.33,309.8,0.786,0.722,0.625,60.297,20.628
,,,,"Long, Joe",,CUT,1,,,72,82,-1.883,-0.428,-2.74,-2.427,-5.595,-7.477,281.9,0.643,0.5,0.364,96.573,43.583
,,,,"Long, Joe",,CUT,2,,,72,72,-0.883,-0.551,0.569,1.194,1.213,0.33,293.4,0.929,0.778,0.286,103.2,38.925
,,,,"Lyle, Sandy",,CUT,1,,,72,81,-2.752,-2.141,-0.127,-1.457,-3.725,-6.477,257.9,0.643,0.5,0.364,59.649,37.274
,,,,"Lyle, Sandy",,CUT,2,,,72,75,-0.162,0.278,-1.284,-1.502,-2.509,-2.67,256.3,0.786,0.611,0.5,54.251,36.347
,,,,"Swafford, Hudson",,CUT,1,,,72,73,1.428,-0.675,0.14,0.63,0.095,1.523,295.3,0.786,0.667,0.556,30.368,43.083
,,,,"Swafford, Hudson",,CUT,2,,,72,83,-3.074,-2.689,-3.799,-1.108,-7.597,-10.67,296.8,0.429,0.389,0.167,56.431,44.943
,,,,"Im, Sungjae",,CUT,1,,,72,77,-0.003,-1.085,-3.039,1.65,-2.474,-2.477,295.1,0.857,0.556,0.692,52.019,52.968
,,,,"Im, Sungjae",,CUT,2,,,72,80,-3.266,-1.935,-1.723,-0.747,-4.405,-7.67,287.2,0.643,0.611,0.4,93.656,39.985
,,,,"Couples, Fred",,CUT,1,,,72,79,-0.171,-1.22,-2.849,-0.237,-4.307,-4.477,283.4,0.571,0.556,0.5,74.731,39.114
,,,,"Couples, Fred",,CUT,2,,,72,78,-1.942,-0.425,-2.373,-0.93,-3.728,-5.67,282.6,0.786,0.5,0.538,36.627,40.456
,,,,"Singh, Vijay",,CUT,1,,,72,79,0.387,-2.416,-1.876,-0.573,-4.864,-4.477,302.7,0.357,0.556,0.5,48.934,30.376
,,,,"Singh, Vijay",,CUT,2,,,72,80,-1.914,-2.611,-1.573,-1.573,-5.757,-7.67,292.1,0.571,0.5,0.286,41.15,51.929
,,,,"Strafaci, Tyler",,CUT,1,,,72,80,-1.348,-1.68,-2.227,-0.222,-4.129,-5.477,285.8,0.5,0.667,0.4,51.318,43.97
,,,,"Strafaci, Tyler",,CUT,2,,,72,81,-0.34,-1.584,-1.932,-4.814,-8.331,-8.67,296.8,0.357,0.333,0.5,46.922,42.721
,,,,"Mize, Larry",,CUT,1,,,72,84,-1.975,-1.576,-4.835,-1.091,-7.502,-9.477,256,0.929,0.278,0.308,61.59,42.11
,,,,"Mize, Larry",,CUT,2,,,72,79,-2.686,-1.195,-0.768,-2.022,-3.985,-6.67,257.5,0.714,0.444,0.417,25.39,34.978
,,,,"Wolff, Matthew",,DQ,1,,,72,76,,,,,,-1.477,,,,,,
,,,,"Wolff, Matthew",,DQ,2,,,72,79,,,,,,-6.67,,,,,,
